Term,Description
The followingWikimedia Foundationsister ...,The followingWikimedia Foundationsister projects provide more on this subject:
Agricultural economicsis an applied fiel...,"Agricultural economicsis an applied field ofeconomicsconcerned with the application of economic theory in optimizing the production and distribution offoodandfiberproducts. 
Agricultural economics began as a branch of economics that specifically dealt withland usage. It focused on maximizing thecrop yieldwhile maintaining a goodsoil ecosystem.  Throughout the 20th century the discipline expanded and the current scope of the discipline is much broader.Agriculturaleconomics today includes a variety of applied areas, having considerable overlap with conventional economics.[1][2][3][4]Agricultural economists have made substantial contributions to research in economics,econometrics,development economics, andenvironmental economics.  Agricultural economics influencesfood policy,agricultural policy, andenvironmental policy."
Economics has been defined as the study ...,"Economics has been defined as the study of resource allocation underscarcity. Agricultural economics, or the application of economic methods to optimize the decisions made by agricultural producers, grew to prominence around the turn of the 20th century.  The field of agricultural economics can be traced back to works on land economics.Henry Charles Taylorwas the greatest contributor in this period, with the establishment of the Department of Agricultural Economics at theUniversity of Wisconsinin 1909.[5]"
"Another contributor, 1979Nobel Economics...","Another contributor, 1979Nobel Economics PrizewinnerTheodore Schultz, was among the first to examinedevelopment economicsas a problem related directly to agriculture.[6]Schultz was also instrumental in establishingeconometricsas a tool for use in analyzing agricultural economics empirically; he noted in his landmark 1956 article that agricultural supply analysis is rooted in ""shifting sand"", implying that it was and is simply not being done correctly.[7]"
"One scholar in the field, Ford Runge, su...","One scholar in the field, Ford Runge, summarizes the development of agricultural economics as follows:"
Agricultural economics arose in the late...,"Agricultural economics arose in the late 19th century, combined thetheory of the firmwith marketing and organization theory, and developed throughout the 20th century largely as an empirical branch of general economics.  The discipline was closely linked to empirical applications of mathematical statistics and made early and significant contributions to econometric methods.  In the 1960s and afterwards, as agricultural sectors in theOECDcountries contracted, agricultural economists were drawn to the development problems of poor countries, to the trade andmacroeconomicpolicy implications of agriculture in rich countries, and to a variety of production, consumption, and environmental and resource problems.[8]"
Agricultural economists have made many w...,"Agricultural economists have made many well-known contributions to the economics field with such models as thecobweb model,[9]hedonic regressionpricing models,[10]new technology and diffusion models (Zvi Griliches),[11]multifactor productivityand efficiency theory and measurement,[12][13]and the random coefficients regression.[14]The farm sector is frequently cited as a prime example of theperfect competitioneconomic paradigm."
"InAsia, the Faculty of Agricultural Econ...","InAsia, the Faculty of Agricultural Economics was established in September 1919 inHokkaido Imperial University,Japan, asTokyo Imperial University's School of Agriculture started a faculty on agricultural economics in its second department of agricultural science."
"In thePhilippines, agricultural economic...","In thePhilippines, agricultural economics was offered first by theUniversity of the PhilippinesLos BañosDepartment of Agricultural Economics in 1919. Today, the field of agricultural economics has transformed into a more integrative discipline which covers farm management and production economics, rural finance and institutions,agricultural marketingand prices, agricultural policy and development, food and nutrition economics, and environmental andnatural resource economics."
"Since the 1970s, agricultural economics ...","Since the 1970s, agricultural economics has primarily focused on seven main topics, according to Ford Runge: agricultural environment and resources; risk and uncertainty; food andconsumer economics; prices and incomes;market structures; trade and development; andtechnical changeandhuman capital.[15]"
"In the field of environmental economics,...","In the field of environmental economics, agricultural economists have contributed in three main areas: designing incentives to control environmentalexternalities(such aswater pollution due to agricultural production), estimating the value of non-market benefits from natural resources and environmental amenities (such as an appealing rural landscape), and the complex interrelationship between economic activities and environmental consequences.[16]With regard to natural resources, agricultural economists have developed quantitative tools for improving land management,preventing erosion,managing pests, protecting biodiversity, and preventinglivestock diseases.[17]"
"While at one time, the field of agricult...","While at one time, the field of agricultural economics was focused primarily on farm-level issues, in recent years agricultural economists have studied diverse topics related to the economics of food consumption. In addition to economists' long-standing emphasis on the effects of prices and incomes, researchers in this field have studied how information and quality attributes influenceconsumer behavior. Agricultural economists have contributed to understanding how households make choices between purchasing food or preparing it at home, howfood pricesare determined, definitions ofpoverty thresholds, how consumers respond to price and income changes in a consistent way, and survey and experimental tools for understanding consumer preferences.[18]"
Agricultural economics research has addr...,"Agricultural economics research has addresseddiminishing returnsin agricultural production, as well as farmers' costs and supply responses. Much research has applied economic theory to farm-level decisions. Studies of risk and decision-making under uncertainty have real-world applications tocrop insurancepolicies and to understanding how farmers in developing countries make choices about technology adoption. These topics are important for understanding prospects for producing sufficient food for agrowing world population, subject to new resource and environmental challenges such aswater scarcityandglobal climate change.[19]"
Development economics is broadly concern...,"Development economics is broadly concerned with the improvement of living conditions in low-income countries, and the improvement of economic performance in low-income settings. Because agriculture is a large part of most developing economies, both in terms of employment and share of GDP, agricultural economists have been at the forefront of empirical research on development economics, contributing to our understanding of agriculture's role in economic development, economic growth and structural transformation. Many agricultural economists are interested in thefood systemsof developing economies, the linkages between agriculture and nutrition, and the ways in which agriculture interact with other domains, such as the natural environment.[20][21]"
TheInternational Association of Agricult...,"TheInternational Association of Agricultural Economists(IAAE) is a worldwide professional association, which holds its major conference every three years. The association publishes the journalAgricultural Economics.[22]There also is a European Association of Agricultural Economists (EAAE), an African Association of Agricultural Economists (AAAE) and anAustralian Agricultural and Resource Economics Society. Substantial work in agricultural economics internationally is conducted by theInternational Food Policy Research Institute."
"In the United States, the primary profes...","In the United States, the primary professional association is theAgricultural & Applied Economics Association(AAEA), which holds its own annual conference and also co-sponsors the annual meetings of theAllied Social Sciences Association(ASSA). The AAEA publishes theAmerican Journal of Agricultural EconomicsandApplied Economic Perspectives and Policy."
Graduates from agricultural and applied ...,"Graduates from agricultural and applied economics departments find jobs in many sectors of the economy:agricultural management,agribusiness,agricultural marketing,education, thefinancial sector,government,natural resourceandenvironmental management,real estate, andpublic relations. Careers in agricultural economics require at least abachelor's degree, and research careers in the field require graduate-level training;[23]seeMasters in Agricultural Economics.
A 2011 study by the Georgetown Center on Education and the Workforce rated agricultural economics tied for 8th out of 171 fields in terms of employability.[24][25]"
Afarm(also called anagricultural holding...,"Afarm(also called anagricultural holding) is an area of land that is devoted primarily to agricultural processes with the primary objective of producing food and other crops; it is the basic facility in food production.[1]The name is used for specialized units such asarable farms, vegetable farms, fruit farms, dairy, pig and poultry farms, and land used for the production ofnatural fiber,biofuel, and othercommodities. It includes ranches,feedlots, orchards, plantations and estates, smallholdings, and hobby farms, and includes the farmhouse and agricultural buildings as well as the land. In modern times, the term has been extended so as to include such industrial operations aswind farmsandfish farms, both of which can operate on land or at sea."
There are about 570 million farms in the...,"There are about 570 million farms in the world, most of which are small and family-operated. Small farms with a land area of fewer than 2 hectares operate on about 12% of the world's agricultural land, andfamily farmscomprise about 75% of the world's agricultural land.[2]"
Modern farms in developed countries are ...,"Modern farms in developed countries are highly mechanized. In the United States, livestock may be raised onrangelandand finished infeedlots, and the mechanization of crop production has brought about a great decrease in the number of agricultural workers needed. In Europe, traditional family farms are giving way to larger production units. In Australia, some farms are very large because the land is unable to support a high stocking density of livestock because of climatic conditions. In less developed countries, small farms are the norm, and the majority of rural residents aresubsistence farmers, feeding their families and selling any surplus products in the local market."
The word in the sense of an agricultural...,"The word in the sense of an agricultural land-holding derives from the verb ""to farm"" a revenue source, whether taxes, customs, rents of a group of manors or simply to hold an individual manor by thefeudal land tenureof ""fee farm"". The word is from the medieval Latin nounfirma, also the source of the French wordferme, meaning a fixed agreement, contract,[3]from the classical Latin adjectivefirmusmeaning strong, stout, firm.[4][5]As in the medieval age virtually all manors were engaged in the business of agriculture, which was their principal revenue source, so to hold a manor by the tenure of ""fee farm"" became synonymous with the practice of agriculture itself."
Farming has been innovated at multiple d...,"Farming has been innovated at multiple different points and places in human history. The transition fromhunter-gathererto settled, agricultural societies is called theNeolithic Revolutionand first began around 12,000 years ago, near the beginning of thegeologicalepochof theHolocene[7]around 12,000 years ago.[8]It was the world's first historically verifiable revolution in agriculture. Farming spread from the Middle East to Europe and by 4,000 BC people that lived in the central part of Europe were usingoxento pull plows and wagons.[9]Subsequent step-changes in human farming practices were provoked by theBritish Agricultural Revolutionin the 18th century, and theGreen Revolutionof the second half of the 20th century."
Farming originated independently in diff...,"Farming originated independently in different parts of the world, as hunter gatherer societies transitioned to food production rather than food capture. It may have started about 12,000 years ago with the domestication of livestock in theFertile Crescentin western Asia, soon to be followed by the cultivation of crops. Modern units tend to specialize in the crops or livestock best suited to the region, with their finished products being sold for the retail market or for further processing, with farm products being traded around the world."
A farm may be owned and operated by a si...,"A farm may be owned and operated by a single individual, family, community, corporation or a company, may produce one or many types of produce, and can be a holding of any size from a fraction of ahectare[10]to several thousand hectares.[11]"
A farm may operate under amonoculturesys...,"A farm may operate under amonoculturesystem or with a variety of cereal or arable crops, which may be separate from or combined with raising livestock. Specialist farms are often denoted as such, thus a dairy farm, fish farm, poultry farm or mink farm."
"Some farms may not use the word at all, ...","Some farms may not use the word at all, hence vineyard (grapes), orchard (nuts and other fruit),market gardenor ""truck farm"" (vegetables and flowers). Some farms may be denoted by their topographical location, such as ahill farm, while large estates growing cash crops such as cotton or coffee may be called plantations."
Many other terms are used to describe fa...,"Many other terms are used to describe farms to denote their methods of production, as incollective,corporate,intensive,organicorvertical."
Other farms may primarily exist for rese...,"Other farms may primarily exist for research or education, such as anant farm, and since farming is synonymous with mass production, the word ""farm"" may be used to describewind power generationorpuppy farm."
Farms have special buildings. Some build...,"Farms have special buildings. Some buildings, such asbarns, may hold animals. There may be separate buildings for chickens and pigs. On dairy farms, a milking parlor is an important building. It is where dairy cows are milked. The milk is kept in a milking parlor until a milk tanker comes to get it. There are also special buildings for keepinggrain. Asilois a tall building where grains, such as wheat and oats are stored. Farmers also use small round metal buildings to store their grain. These buildings are calledgrain bins."
"Dairy farming is a class of agriculture,...","Dairy farming is a class of agriculture, where femalecattle,goats, or othermammalsare raised for theirmilk, which may be either processed on-site or transported to a dairy for processing and eventual retail sale There are many breeds of cattle that can be milked some of the best producing ones includeHolstein,Norwegian Red,Kostroma,Brown Swiss, and more.[12]"
"In mostWesterncountries, a centralizedda...","In mostWesterncountries, a centralizeddairyfacility processes milk and dairy products, such ascream,butter, andcheese. In the United States, these dairies are usually local companies, while in thesouthern hemispherefacilities may be run by very large nationwide or trans-national corporations (such asFonterra)."
Dairy farms generally sell male calves f...,"Dairy farms generally sell male calves forvealmeat, as dairy breeds are not normally satisfactory for commercial beef production. Many dairy farms also grow their own feed, typically including maize,alfalfa, and hay. This is fed directly to the cows, or stored assilagefor use during the winter season. Additional dietary supplements are added to the feed to improve milk production.[13]"
Poultry farms are devoted to raisingchic...,"Poultry farms are devoted to raisingchickens(egg layers orbroilers),turkeys,ducks, and otherfowl, generally formeatoreggs.[14]"
A pig farm is one that specializes in ra...,"A pig farm is one that specializes in raisingpigsfor bacon, ham, and other pork products. They may befree range, intensive, or both."
Farm control and ownership has tradition...,"Farm control and ownership has traditionally been a key indicator of status and power, especially in Medieval Europeanagrarian societies. Thedistributionof farm ownership has historically been closely linked to form of government. Medievalfeudalismwas essentially a system that centralized control of farmland, control of farm labor and political power, while the early American democracy, in which land ownership was a prerequisite for voting rights, was built on relatively easy paths to individual farm ownership. However, the gradual modernization and mechanization of farming, which greatly increases both the efficiency and capital requirements of farming, has led to increasingly large farms. This has usually been accompanied by the decoupling of political power from farm ownership.[citation needed]"
In some societies (especiallysocialistan...,"In some societies (especiallysocialistandcommunist),collective farmingis the norm, with either government ownership of the land or common ownership by a local group. Especially in societies without widespread industrialized farming,tenant farmingandsharecroppingare common; farmers either pay landowners for the right to use farmland or give up a portion of the crops."
"Agribusinessis theindustry,enterprises, ...","Agribusinessis theindustry,enterprises, and the field of study[15]ofvalue chainsinagriculture[16]and in thebio-economy,[17]in which case it is also called bio-business[18][19]or bio-enterprise. 
The primary goal of agribusiness is tomaximize profitwhile satisfying the needs of consumers for products related tonatural resourcessuch asbiotechnology, farms,food,forestry,fisheries,fuel, andfiber."
Studies of business growth and performan...,"Studies of business growth and performance in farming have found successful agricultural businesses are cost-efficient internally and operate in favorable economic, political, and physical-organic environments.  They are able to expand and make profits, improve the productivity ofland,labor, andcapital, and keep their costs down to ensure market price competitiveness.[20]"
Agribusiness is not limited to farming. ...,"Agribusiness is not limited to farming. It encompasses a broader spectrum through the agribusiness system which includes input supplies,value-addition,marketing,entrepreneurship,microfinancing, andagricultural extension."
The land and buildings of a farm are cal...,"The land and buildings of a farm are called the ""farmstead"".[21]Enterprises where livestock are raised onrangelandare calledranches. Where livestock are raised in confinement on feed produced elsewhere, the termfeedlotis usually used."
"In the US, in 1910 there were 6,406,000 ...","In the US, in 1910 there were 6,406,000 farms and 10,174,000 family workers; In 2000 there were only 2,172,000 farms and 2,062,300 family workers.[22]The share of U.S. farms operated by women has risen steadily over recent decades, from 5 percent in 1978 to 14 percent by 2007.[23]"
"In the United States, there are over thr...","In the United States, there are over three million migrant and seasonal farmworkers; 72% are foreign-born, 78% are male, they have an average age of 36 and average education of 8 years.[24]Farmworkers make an average hourly rate of $9–10 per hour, compared to an average of over $18 per hour for nonfarm labor. Their average family income is under $20,000 and 23% live in families with incomes below the federal poverty level.[25]One-half of all farmworker families earn less than $10,000 per year,[26]which is significantly below the 2005 U.S. poverty level of $19,874 for a family of four."
"In 2007, corn acres are expected to incr...","In 2007, corn acres are expected to increase by 15% because of the high demand for ethanol, both in and outside of the U.S. Producers are expecting to plant 90.5 million acres (366,000 km2) of corn, making it the largest corn crop since 1944.[27]"
"In the UK,farmas an agricultural unit, a...","In the UK,farmas an agricultural unit, always denotes the area ofpastureand other fields together with its farmhouse, farmyard and outbuildings. Large farms, or groups of farms under the same ownership, may be called an estate. Conversely, a small farm surrounding the owner's dwelling is called asmallholdingand is generally focused onself-sufficiencywith only the surplus being sold."
"In Europe, traditional family farms are ...","In Europe, traditional family farms are giving way to larger production units whereindustrial agricultureandmechanizationbrings largecropyields.[9]"
TheCommon Agricultural Policy(CAP) is on...,"TheCommon Agricultural Policy(CAP) is one of the most important policies of the European Union and is helping in the change of farms from traditional family farms to larger production units. The policy has the objectives of increasing agricultural production, providing certainty in food supplies, ensuring a high quality of life for farmers, stabilizing markets, and ensuring reasonable prices for consumers.[28]It was, until recently, operated by a system ofsubsidiesand market intervention. Until the 1990s, the policy accounted for over 60 per cent of the European Union's annual budget, and as of 2013 accounts for around 34 per cent.[29]"
"According to theWorld Bank, ""most empiri...","According to theWorld Bank, ""most empirical evidence indicates that land productivity on large farms in Pakistan is lower than that of small farms, holding other factors constant."" Small farmers have ""higher net returns per hectare"" than large farms, according to farm
household income data.[30]"
Nepalis an agricultural country and abou...,Nepalis an agricultural country and about 80% of the total population are engaged in farming. Rice is mainly produced in Nepal along with fruits like apples.[31]Dairy farming and poultry farming are also growing inNepal.
Farmingis a significant economic sector ...,Farmingis a significant economic sector inAustralia. A farm is an area of land used for primary production which will include buildings.
"According to the UN, ""green agriculture ...","According to the UN, ""green agriculture directs a greater share of total farming input expenditures towards the purchase of locally sourced input?(e.g. labour and organic fertilisers) and a local multiplier effect is expected to kick in. Overall, green farming practices tend to require more labour inputs than conventional farming (e.g. from comparable levels to as much as 30 per cent more) (FAO 2007 and European Commission 2010), creating jobs in rural areas and a higher return on labour inputs.""[32]"
Where most of the income is from some ot...,"Where most of the income is from some other employment, and the farm is really an expanded residence, the termhobby farmis common. This will allow sufficient size for recreational use but be very unlikely to produce sufficient income to be self-sustaining. Hobby farms are commonly around 2 hectares (4.9 acres) but may be much larger depending upon land prices (which vary regionally)."
Often very small farms used for intensiv...,"Often very small farms used for intensive primary production are referred to by the specialization they are being used for, such as a dairy rather than a dairy farm, a piggery, a market garden, etc. This also applies to feedlots, which are specifically developed to a single purpose and are often not able to be used for more general purpose (mixed) farming practices."
In remote areas farms can become quite l...,"In remote areas farms can become quite large. As withestatesin England, there is no defined size or method of operation at which a large farm becomes astation."
A farm in Africa includes various struct...,"A farm in Africa includes various structures. Depending on climate-related areas primarily farming is the raising and breeding of grazing livestock, such as cattle, sheep, ostriches, horses or goats.  Predominantly domestic animals are raised for their meat, milk, skin, leather or fiber wool). You might even come across silk farms.[33]"
"Furthermore, there are plenty of hunting...","Furthermore, there are plenty of hunting farms, guest farms andgame farms. Arable] or irrigated land is often used for raising crops such as feed grains and hay for animal feeding."
On some farms (Astro Farm) star-gazing b...,On some farms (Astro Farm) star-gazing became very popular because of the excellent optical quality in the desert.[34]TheHigh Energy Stereoscopic System(H.E.S.S.) which investigatescosmicgamma raysis situated onFarm GöllschauinNamibia.
Farm equipment has evolved over the cent...,"Farm equipment has evolved over the centuries from simple hand tools such as thehoe, through ox- or horse-drawn equipment such as the plough andharrow, to the modern highly technical machinery such as thetractor,balerandcombine harvesterreplacing what was a highly labour-intensive occupation before theIndustrial Revolution. Today much of the farm equipment used on both small[35]and large farms is automated (e.g. usingsatelliteguided farming).[36]"
As new types of high-tech farm equipment...,"As new types of high-tech farm equipment have become inaccessible to farmers that historically fixed their own equipment,Wiredmagazine reports there is a growing backlash,[37]due mostly to companies usingintellectual propertylaw to prevent farmers from having the legal right to fix their equipment (or gain access to the information to allow them to do it).[38]This has encouraged groups such asOpen Source Ecologyand Farm Hack[39]to begin to makeopen source hardwarefor agricultural machinery. In addition on a smaller scaleFarmbot[40]and theRepRapopen source3D printercommunity has begun to make open-source farm tools available of increasing levels of sophistication.[41]"
Agricultural soil scienceis a branch ofs...,"Agricultural soil scienceis a branch ofsoil sciencethat deals with the study ofedaphicconditions as they relate to theproduction of foodandfiber.  In this context, it is also a constituent of the field ofagronomyand is thus also described assoil agronomy."
Prior to the development ofpedologyin th...,"Prior to the development ofpedologyin the 19th century, agricultural soil science (oredaphology) was the only branch of soil science. The bias of early soil science toward viewing soils only in terms of their agricultural potential continues to define the soil science profession in both academic and popular settings as of 2006[update]. (Baveye, 2006)"
Agricultural soil science follows the ho...,Agricultural soil science follows the holistic method. Soil is investigated in relation to and as integral part of terrestrial ecosystems but is also recognized as amanageablenatural resource.
Agricultural soil science studies the ch...,"Agricultural soil science studies the chemical, physical, biological, and mineralogical composition of soils as they relate to agriculture. Agricultural soil scientists develop methods that will improve the use of soil and increase the production of food and fiber crops. Emphasis continues to grow on the importance of soil sustainability.Soil degradationsuch as erosion, compaction, lowered fertility, and contamination continue to be serious concerns.[1]They conduct research inirrigationanddrainage,tillage,soil classification,plant nutrition,soil fertility, and other areas."
Although maximizing plant (and thus anim...,"Although maximizing plant (and thus animal) production is a valid goal, sometimes it may come at high cost which can be readily evident (e.g. massivecrop diseasestemming frommonoculture) or long-term (e.g. impact of chemical fertilizers and pesticides on human health). An agricultural soil scientist may come up with a plan that can maximize production using sustainable methods and solutions, and in order to do that they must look into a number of science fields includingagricultural science,physics,chemistry,biology,meteorologyandgeology."
Some soil variables of special interest ...,Some soil variables of special interest to agricultural soil science are
Soil scientists use a soil classificatio...,Soil scientists use a soil classification system to describe soil qualities. TheInternational Union of Soil Sciencesendorses theWorld Reference Baseas the international standard.[2]
Agricultural soil scientists study ways ...,"Agricultural soil scientists study ways to makesoilsmoreproductive. They classify soils and test them to determine whether they contain nutrients vital to plant growth. Such nutritional substances include compounds ofnitrogen,phosphorus, andpotassium. If a certain soil is deficient in these substances,fertilizersmay provide them. Agricultural soil scientists investigate the movement ofnutrientsthrough the soil, and the amount of nutrients absorbed by a plant'sroots. Agricultural soil scientists also examine the development of roots and their relation to the soil. Some agricultural soil scientists try to understand the structure and function of soils in relation to soil fertility. They grasp the structure of soil as porous solid. The solid frames of soil consist of mineral derived from the rocks and organic matter originated from the dead bodies of various organisms. The pore space of the soil is essential for the soil to become productive. Small pores serve as water reservoir supplying water to plants and other organisms in the soil during the rain-less period. The water in the small pores of soils is not pure water; they call it soil solution. In soil solution, various plant nutrients derived from minerals and organic matters in the soil are there. This is measured through thecation exchange capacity. Large pores serve as water drainage pipe to allow the excessive water pass through the soil, during the heavy rains. They also serve as air tank to supply oxygen to plant roots  and other living beings in the soil."
"In addition, agricultural soil scientist...","In addition, agricultural soil scientists develop methods to preserve the agricultural productivity of soil and to decrease the effects on productivity oferosionby wind and water. For example, a technique calledcontour plowingmay be used to prevent soil erosion and conserve rainfall. Researchers in agricultural soil science also seek ways to use the soil more effectively in addressing associated challenges.  Such challenges include thebeneficial reuseof human and animal wastes using agricultural crops; agriculturalsoil managementaspects of preventingwater pollutionand the build-up in agricultural soil of chemicalpesticides.Regenerative agriculturepractices can be used to address these challenges and rebuild soil health."
Most agricultural soil scientists are co...,"Most agricultural soil scientists are consultants, researchers, or teachers. Many work in thedeveloped worldas farm advisors,agricultural experiment stations, federal, state or local government agencies, industrial firms, or universities. Within the USA they may be trained through theUSDA'sCooperative Extension Serviceoffices, although other countries may use universities,research institutesor research agencies. Elsewhere, agricultural soil scientists may serve in international organizations such as theAgency for International Developmentand theFood and Agriculture Organizationof the United Nations."
[The key objective of the soil science d...,[The key objective of the soil science discipline is that of] finding ways to meet growinghuman needsfor food and fiber while maintainingenvironmental stabilityandconserving resourcesfor future generations
Many people have the vague notion that s...,Many people have the vague notion that soil science is merely a phase ofagronomyand deals only with practicalsoil managementfor field crops. Whether we like it or not this is the image many have of us
"Agricultural engineering, also known asa...","Agricultural engineering, also known asagricultural and biosystems engineering, is the field of study and application ofengineeringscience and designs principles foragriculturepurposes, combining the various disciplines ofmechanical,civil,electrical,food science,environmental,software, andchemical engineeringto improve the efficiency offarmsandagribusiness enterprises[1]as well as to ensure sustainability of natural and renewable resources.[2]"
An agricultural engineer is anengineerwi...,"An agricultural engineer is anengineerwith anagriculturebackground. Agricultural engineers make the engineering designs and plans in an agricultural project, usually in partnership with anagriculturistwho is more proficient infarmingandagricultural science."
The first use of agricultural engineerin...,"The first use of agricultural engineering was the introduction ofirrigationin large scale agriculture in theNileand theEuphratesrivers before 2000 B.C. Large irrigation structures were also present inBaluchistanandIndiabeforeChristian era. In other parts of Asia, agricultural engineering was heavily present inChina. In South America irrigation was practiced inPeruby theIncasand in North America by theAztecs.[3]"
The earliest plough was theardor scratch...,The earliest plough was theardor scratch-plough.[4]
Settlers practiced irrigation in the vic...,"Settlers practiced irrigation in the vicinity ofSan Antonioin 1715, theMormonspracticed irrigation inSalt Lake Valleyin 1847.[3]"
With growingmechanizationandsteam poweri...,"With growingmechanizationandsteam powerin theIndustrial Revolution, a new age in agricultural engineering began. Over the course of the Industrial Revolution,mechanical harvestersandplanterswould replace field hands in most of the food andcash cropindustries.Mechanical threshingwas introduced in 1761 by John Lloyd, Magnus Strindberg and Dietrich. Beater barthreshingmachine was built byAndrew Meiklein 1786.[5]Acast ironplowwas first made byCharles Newboldbetween 1790 and 1796.[3]"
James Smithconstructed amowerin 1811.Geo...,James Smithconstructed amowerin 1811.George Berryused a steamcombine harvesterin 1886.[5]John Deeremade his firststeel plowin 1833. The two horsecultivatorwas first about 1861.[3]
The introduction of these engineering co...,"The introduction of these engineering concepts into the field of agriculture allowed for an enormous boost in the productivity of crops, dubbed a ""second agricultural revolution"" which consisted of:[6]"
"In the 20th century, with the rise in re...","In the 20th century, with the rise in reliable engines in airplanes,cropdusterswere implemented to disperse pesticides.Benjamin Holtbuilt a combine harvester powered bypetrolin 1911.Erwin Peuckerconstructedbulldog tractors1936.Deutz-Fahrproduced the rotaryhay tedderin 1961.[5]"
"In the late 20th century,genetically mod...","In the late 20th century,genetically modified foods(GMOs) were created, giving another large boost to crop yields and resistance to pests.[7]"
Agricultural engineering has many sub-di...,"Agricultural engineering has many sub-disciplines, the most common of which are listed here:"
Agricultural machinery...,Agricultural machinery
Agricultural structures...,Agricultural structures
Agricultural surveying...,Agricultural surveying
Aquaculture...,Aquaculture
Biomechanics and ergonomics...,Biomechanics and ergonomics
Forestry engineering...,Forestry engineering
Irrigation...,Irrigation
Land development...,Land development
Pesticides...,Pesticides
Precision agriculture...,Precision agriculture
Soil management...,Soil management
Agricultural engineers may perform tasks...,"Agricultural engineers may perform tasks such as planning, supervising and managing the building of dairy effluent schemes,irrigation,drainage,floodwater control systems, performingenvironmental impact assessments,agriculturalproductprocessingand interpret research results and implement relevant practices. A large percentage of agricultural engineers work in academia or for government agencies. Some are consultants, employed by private engineering firms, while others work in industry, for manufacturers of agricultural machinery, equipment, processing technology, and structures for housing livestock and storing crops. Agricultural engineers work in production, sales,management,researchand development, orapplied science."
